ID,Name,Age,Email,Join_Date,Salary,Department
1e407ff9-6255-489d-a0de-34135d4f74bd,Hunter Thomas,25.0,xlopez@hotmail.com,2022-07-07,88552,Sales
14ed3e6a-e0f5-4bbe-8d93-8665267f5c90,Julia Lee,71.0,figueroakayla@yahoo.com,2021-01-12,143456,Marketing
12cc2f16-d641-402e-b22b-3332bafc4f1d,Unknown,71.0,andrew74@hotmail.com,2022-02-12,83354,Sales
d06f507d-62e5-4bd6-a252-4e60e109d324,Jay Fisher,44.0,denisemaynard@jordan.com,2022-12-08,37701,HR
da63d159-e9b0-4b92-b0fe-4e87df3aebc1,Amber Marsh,23.0,robert43@gmail.com,2023-09-08,112970,Engineering
5ca27087-5c90-4d42-94d0-7e9ee3f422b9,Patrick Mooney,57.0,bowersjasmine@hotmail.com,2023-06-24,41511,Sales
9b83a5e5-9516-493f-86f8-d6c445edb501,Nicole Cardenas,60.0,griffinlinda@harrison.com,2023-03-01,51625,Marketing
0074dbd5-10d0-463f-9b10-d8473bea04ba,Unknown,22.0,ericjohnson@castillo-mendez.net,2023-03-01,89883,HR
241e20d7-cc36-495e-86c2-2928bbaa93d8,Mark Wilkins,54.0,longjennifer@parker.biz,2022-01-19,85794,Sales
7aa89cdd-e328-4425-9556-b0b3da9e4f2a,Danny Martinred,64.0,amyclements@lee.biz,2022-08-30,89883,HR
88e92fab-a06c-4c53-a59a-699bf8a583b5,Curtis Parkerlot,36.0,daniellewilliams@gmail.com,2023-12-08,89883,HR
13b6428a-ba54-4531-87a1-72c3c3ccf765,Laura Davis,60.0,garciaralph@hayes-hernandez.biz,2024-06-09,61209,Engineering
58d4c7cd-aa32-4429-a96e-e881c676852c,Sharon Mcclure,25.0,mcmahonchristina@hotmail.com,2024-06-09,89208,Marketing
31f74cb1-8ed7-464a-9014-5b833cf9e5db,Trevor Smith,30.0,robertflowers@diaz.biz,2022-06-13,133390,Marketing
ace748f5-03e6-4187-8a02-c81906eb9667,Unknown,18.0,jeremyarmstrong@hotmail.com,2023-01-14,35900,Engineering
6f5313d3-eeb9-4acb-bd8a-47797d747c5a,Ryan DanielsTV,35.0,hward@yahoo.com,2023-01-14,108317,Sales
3fc48575-3616-4fa9-a554-610f92c8c681,Veronica Schmidt,40.0,steven75@yahoo.com,2020-03-13,65482,Engineering
de98cc3c-0802-4824-929f-73eee22aa40b,Richard Brooks,56.0,lukewalker@gmail.com,2020-06-14,116303,Sales
0bb8f303-5515-429e-a05a-7c9ee675a50b,Cesar Morrison,72.0,lisa58@gmail.com,2020-06-14,162857,HR
3a6b1096-f7a7-4901-a31a-9db676895801,Kayla Carpenter,61.0,dcooper@adams.net,2021-06-08,82857,Engineering
fdffe261-41c3-49bd-8343-c55c22ed6934,Laura Douglas,38.0,rebecca26@long-gray.org,2023-01-15,63299,Marketing
507c693e-8fa6-4583-82f8-8eae20d66be7,Evan Martinezimportant,34.0,tanyaglass@yahoo.com,2022-11-30,150059,Sales
6acc5bba-ee93-45b8-aa59-a75e1038c784,Alice Lewis,20.0,juansalinas@hotmail.com,2020-11-16,163203,HR
08a2c469-4d0a-4474-9adc-b080966e2130,Richard Collins,68.0,michaelhernandez@lee.com,2021-05-12,65728,Sales
f9d66dd9-4481-447b-9218-e280165ca091,John Bailey,69.0,robbinsfelicia@nelson.com,2020-09-30,39784,Support
b7e13183-a09a-40fa-a401-51f278428372,Joshua Harmonview,59.0,smithrichard@yahoo.com,2020-03-13,89883,HR
85fd1b76-fa4c-4b27-916b-69a68efd2f3c,Jason Stephens,54.0,parksandrea@brown.biz,2020-04-15,40452,Marketing
adaf3575-fd70-4249-893f-13e935530282,Kimberly Page,71.0,kruegerchristopher@hotmail.com,2020-11-15,123114,HR
6e50ff2b-ee84-4ba1-adc1-88aced745fff,Mrs. Sheri Duffyparty,38.0,woodmadison@rice.com,2023-05-06,93430,Marketing
78e61c19-2696-4529-93df-84694e0cdbb8,Robert Peterson,63.0,patricia32@hotmail.com,2022-12-24,133039,Support
fe1793f4-1f96-46df-91eb-464afc0fe31d,Miguel Wilcox,54.0,caitlin05@hotmail.com,2020-07-27,74013,Sales
