,ID,Name,Age,Email,Join Date,Salary,Department
0,1e407ff9-6255-489d-a0de-34135d4f74bd,Hunter Thomas,25.0,xlopez@hotmail.com,,88552.0,Sales
1,379f55b8-87d5-4739-a146-7400b78c24d1,Jeremy Irwin,90.0,Jillian Jenkins,2022-07-07,139227.0,
2,18261368-dfa1-47f0-afc6-bddf45926b07,Jennifer Hammondquickly,66.0,jscottgreen.biz,2023-11-21,65550.0,Engineering
3,ae7cf7cf-17cf-4c8b-9c44-4f61a9a238e5,Sydney Taylorso,39.0,luke56gonzalez.com,2021-11-05,139932.0,SupportJ
4,14ed3e6a-e0f5-4bbe-8d93-8665267f5c90,Julia Lee,71.0,figueroakayla@yahoo.com,,143456.0,Marketing
5,f92ea13f-24d3-4792-91e4-5b0e07d90c2c,Lisa Bailey,81.0,milleryvonne@fowler-york.com,15/10/2016,123018.0,SupportE
6,c4892dbb-2554-4ce1-8f11-f6597d7f6782,Patricia Brown DVM,66.0,pperkinshotmail.com,17/09/2020,77311.0,HR
7,465e625b-f924-4061-8356-c7e3130f7118,Derek Murphy,38.0,josephrobertsongmail.com,2021-01-12,,Support
8,12cc2f16-d641-402e-b22b-3332bafc4f1d,,71.0,andrew74@hotmail.com,2022-02-12,83354.0,Sales
9,d06f507d-62e5-4bd6-a252-4e60e109d324,Jay Fisher,44.0,denisemaynard@jordan.com,2022-12-08,37701.72599250199,HR
10,d5fe9321-49cf-4f14-ac96-7aea1204247b,Craig Conway,88.0,gerald47@woodard-smith.com,,81214.52597186244,Engineering
11,21763907-db1a-400a-8464-e3af593c3abc,Raymond Wilson,44.0,katherinewallacehotmail.com,2021-08-26,128335.0,HRC
12,da63d159-e9b0-4b92-b0fe-4e87df3aebc1,Amber Marsh,23.0,robert43@gmail.com,2023-09-08,112970.0,Engineering
13,5ca27087-5c90-4d42-94d0-7e9ee3f422b9,Patrick Mooney,57.0,bowersjasmine@hotmail.com,2023-06-24,41511.139645951946,SalesA
14,9b83a5e5-9516-493f-86f8-d6c445edb501,Nicole Cardenas,60.0,griffinlinda@harrison.com,16/10/2003,51625.81440265695,Marketing
15,0074dbd5-10d0-463f-9b10-d8473bea04ba,,22.0,ericjohnson@castillo-mendez.net,2023-03-01,,HR
16,241e20d7-cc36-495e-86c2-2928bbaa93d8,Mark Wilkins,,longjennifer@parker.biz,17/02/1991,85794.0,SalesX
17,eab72304-0aff-45f8-ab0d-6af25b1620bc,,30.0,armstrongpamelayahoo.com,23/11/1998,,Engineering
18,05e36d3f-6422-4329-80b2-1fd3543ee254,,,,,,
19,a8b6e8e3-f2f2-42c6-b2d7-2bbfd9b91125,,,,,,
20,2205ccce-1a22-44cb-9107-01990df7f935,Eric Cole,,Denise Martin,2022-01-19,60013.0,Supportu
21,7aa89cdd-e328-4425-9556-b0b3da9e4f2a,Danny Martinred,64.0,amyclements@lee.biz,2022-08-30,,HR
22,88e92fab-a06c-4c53-a59a-699bf8a583b5,Curtis Parkerlot,36.0,daniellewilliams@gmail.com,2023-12-08,,HR
23,13b6428a-ba54-4531-87a1-72c3c3ccf765,Laura Davis,60.0,garciaralph@hayes-hernandez.biz,06/10/1989,61209.0,Engineeringi
24,3f741e1f-f781-463e-a12a-871d3866c711,,,,,,
25,58d4c7cd-aa32-4429-a96e-e881c676852c,Sharon Mcclure,25.0,mcmahonchristina@hotmail.com,2024-06-09,89208.0,Marketing
26,ea358a83-5e3b-41dd-b00b-9cbb2bb85b45,Lori Hernandez,83.0,elizabeth22@yahoo.com,2021-05-29,52075.0,Engineering
